22:25:53.764 total=1.34ms reload=0.00ms input=0.01ms motion=0.50ms filter=0.00ms rules=0.81ms select=0.01ms entities=15 projectiles=1
22:25:55.765 total=1.17ms reload=0.00ms input=0.01ms motion=0.50ms filter=0.00ms rules=0.66ms select=0.00ms entities=15 projectiles=1
22:25:57.777 total=1.39ms reload=0.00ms input=0.01ms motion=0.73ms filter=0.00ms rules=0.64ms select=0.00ms entities=15 projectiles=1
22:25:59.788 total=1.32ms reload=0.00ms input=0.01ms motion=0.65ms filter=0.00ms rules=0.66ms select=0.00ms entities=15 projectiles=2
22:28:49.576 total=64.48ms reload=0.31ms input=2.60ms motion=45.23ms filter=0.01ms rules=16.32ms select=0.01ms entities=15 projectiles=0
22:28:51.600 total=1.77ms reload=0.00ms input=0.01ms motion=1.13ms filter=0.00ms rules=0.62ms select=0.01ms entities=15 projectiles=0
22:28:53.625 total=1.25ms reload=0.00ms input=0.02ms motion=0.02ms filter=0.00ms rules=1.20ms select=0.00ms entities=15 projectiles=0
22:28:55.625 total=0.73ms reload=0.00ms input=0.01ms motion=0.02ms filter=0.00ms rules=0.70ms select=0.00ms entities=15 projectiles=0
22:28:57.629 total=0.85ms reload=0.00ms input=0.01ms motion=0.02ms filter=0.00ms rules=0.81ms select=0.00ms entities=15 projectiles=0
22:28:59.654 total=0.76ms reload=0.00ms input=0.01ms motion=0.01ms filter=0.00ms rules=0.73ms select=0.01ms entities=15 projectiles=0
22:29:01.656 total=0.60ms reload=0.00ms input=0.01ms motion=0.01ms filter=0.00ms rules=0.57ms select=0.01ms entities=15 projectiles=0
22:29:03.660 total=0.67ms reload=0.00ms input=0.01ms motion=0.01ms filter=0.00ms rules=0.64ms select=0.00ms entities=15 projectiles=0
22:29:05.686 total=0.70ms reload=0.00ms input=0.01ms motion=0.01ms filter=0.00ms rules=0.67ms select=0.01ms entities=15 projectiles=0
22:29:07.686 total=0.55ms reload=0.00ms input=0.01ms motion=0.01ms filter=0.00ms rules=0.52ms select=0.00ms entities=15 projectiles=0
